frame_index,timestamp,brand_name,box_coordinates
0,0.0,Levi's,"(1119, 361, 1258, 412)"
1,1.0,&stradivarius,"(295, 476, 393, 523)"
2,2.0,CARVELA,"(676, 433, 801, 497)"
3,3.0,CARVELA,"(1059, 429, 1185, 495)"
4,4.0,@pullandbear,"(283, 674, 418, 749)"
5,5.0,HUGO BOSS,"(546, 267, 674, 385)"
6,6.0,CARVELA,"(1613, 355, 1840, 458)"
7,7.0,CARVELA,"(1652, 338, 1915, 450)"
8,8.0,&stradivarius,"(1459, 449, 1590, 509)"
9,9.0,&stradivarius,"(1481, 445, 1617, 508)"
10,10.0,CARVELA,"(1735, 326, 1920, 435)"
11,11.0,HUGO BOSS,"(94, 48, 308, 228)"
12,12.0,&stradivarius,"(1303, 452, 1429, 517)"
13,13.0,&stradivarius,"(1278, 454, 1399, 518)"
14,14.0,&stradivarius,"(1276, 447, 1397, 508)"
15,15.0,CARVELA,"(1505, 257, 1806, 386)"
16,16.0,CARVELA,"(1513, 200, 1822, 335)"
17,17.0,CARVELA,"(1507, 191, 1811, 321)"
18,18.0,CARVELA,"(1468, 195, 1759, 323)"
19,19.0,CARVELA,"(1435, 199, 1720, 325)"
20,20.0,CARVELA,"(1420, 204, 1699, 329)"
21,21.0,CARVELA,"(1405, 203, 1680, 329)"
22,22.0,CARVELA,"(1353, 209, 1609, 330)"
23,23.0,CARVELA,"(1246, 223, 1483, 333)"
24,24.0,CARVELA,"(1170, 232, 1391, 337)"
25,25.0,CARVELA,"(1120, 256, 1330, 357)"
26,26.0,CARVELA,"(1080, 295, 1284, 391)"
27,27.0,CARVELA,"(1052, 328, 1249, 423)"
28,28.0,CARVELA,"(1031, 353, 1226, 446)"
29,29.0,CARVELA,"(1019, 368, 1215, 459)"
30,30.0,CARVELA,"(1003, 377, 1195, 465)"
31,31.0,CARVELA,"(975, 386, 1166, 473)"
32,32.0,CARVELA,"(958, 390, 1151, 479)"
33,33.0,CARVELA,"(1009, 386, 1204, 476)"
34,34.0,CARVELA,"(1176, 370, 1393, 469)"
35,35.0,CARVELA,"(1324, 342, 1570, 452)"
36,36.0,&stradivarius,"(1224, 421, 1344, 481)"
37,37.0,CARVELA,"(1504, 256, 1801, 386)"
38,38.0,CARVELA,"(1550, 235, 1865, 367)"
39,39.0,&stradivarius,"(1467, 365, 1610, 435)"
41,41.0,Peals,"(1601, 509, 1677, 550)"
42,42.0,Pretels,"(1697, 513, 1779, 555)"
43,43.0,Prelals,"(1719, 515, 1802, 559)"
46,46.0,&stradivarius,"(1508, 381, 1658, 451)"
47,47.0,CARVELA,"(1737, 258, 1920, 377)"
48,48.0,fral,"(1476, 386, 1627, 454)"
52,52.0,&stradivarius,"(1490, 364, 1688, 442)"
53,53.0,sunglasshut,"(449, 218, 573, 261)"
54,54.0,sunglasshut,"(393, 184, 527, 229)"
58,58.0,&stradivarius,"(1751, 328, 1920, 419)"
65,65.0,therapie,"(479, 288, 585, 384)"
66,66.0,&stradivarius,"(1417, 311, 1909, 444)"
68,68.0,&stradivarius,"(906, 373, 1191, 457)"
69,69.0,&stradivarius,"(798, 376, 1095, 455)"
70,70.0,&stradivarius,"(724, 374, 1008, 451)"
71,71.0,&stradivarius,"(637, 372, 923, 444)"
72,72.0,CARVELA,"(1147, 294, 1558, 386)"
73,73.0,CARVELA,"(1146, 293, 1553, 385)"
74,74.0,CARVELA,"(1167, 289, 1585, 381)"
75,75.0,&stradivarius,"(751, 370, 1027, 442)"
76,76.0,&stradivarius,"(963, 362, 1251, 446)"
77,77.0,&stradivarius,"(1203, 335, 1540, 439)"
78,78.0,&stradivarius,"(1438, 300, 1866, 424)"
79,79.0,&stradivarius,"(1669, 287, 1920, 405)"
80,80.0,PENNY,"(127, 412, 219, 462)"
81,81.0,PENNY,"(72, 387, 184, 444)"
82,82.0,therapie,"(119, 58, 392, 285)"
83,83.0,Pretels,"(1178, 591, 1328, 667)"
85,85.0,CLINIC,"(131, 83, 262, 184)"
86,86.0,CLINIC,"(0, 0, 105, 109)"
87,87.0,Pretels,"(1474, 705, 1741, 793)"
88,88.0,TheFragrance Shop,"(351, 153, 610, 341)"
89,89.0,Wi-FI,"(119, 428, 208, 492)"
91,91.0,GUESS,"(1365, 324, 1562, 418)"
93,93.0,&stradivarius,"(1428, 281, 1920, 402)"
95,95.0,GUESS,"(573, 342, 749, 410)"
96,96.0,GUESS,"(517, 341, 749, 412)"
97,97.0,GUESS,"(558, 343, 750, 412)"
98,98.0,&stradivarius,"(1276, 321, 1791, 412)"
99,99.0,&stradivarius,"(1401, 312, 1920, 403)"
100,100.0,&stradivarius,"(1631, 284, 1920, 410)"
102,102.0,GUESS,"(982, 325, 1169, 409)"
103,103.0,GUESS,"(973, 324, 1163, 409)"
104,104.0,GUESS,"(947, 325, 1136, 409)"
105,105.0,GUESS,"(946, 327, 1136, 409)"
106,106.0,GUESS,"(1026, 326, 1220, 412)"
107,107.0,GUESS,"(1150, 310, 1361, 406)"
108,108.0,GUESS,"(1372, 276, 1634, 388)"
112,112.0,TikTok WE'RENOW ON,"(932, 760, 1033, 812)"
113,113.0,WE'RENOW ON,"(932, 769, 1041, 810)"
116,116.0,TikTok WE'RENOW ON,"(966, 874, 1068, 918)"
121,121.0,SAESNN,"(1382, 413, 1447, 453)"
125,125.0,SAMSUNG,"(1466, 416, 1552, 462)"
126,126.0,SAMSUNG,"(1499, 413, 1592, 459)"
129,129.0,SAMSUNG,"(1595, 392, 1719, 452)"
130,130.0,SAMSUNG,"(1637, 382, 1766, 446)"
131,131.0,SAMSUNG,"(1679, 376, 1818, 444)"
132,132.0,SAMSUNG,"(1720, 364, 1874, 436)"
133,133.0,SAMSUNG,"(1755, 355, 1920, 433)"
135,135.0,CALLLOLNLL OLLST,"(403, 11, 627, 280)"
136,136.0,SAMSUNG,"(1460, 378, 1604, 442)"
147,147.0,CALLIOENLE,"(0, 0, 290, 210)"
148,148.0,SAMSUNG,"(1504, 369, 1655, 438)"
149,149.0,SAMSUNG,"(1570, 365, 1732, 437)"
150,150.0,SAMSUNG,"(1627, 357, 1802, 432)"
151,151.0,SAMSUNG,"(1682, 336, 1871, 417)"
158,158.0,GILLY HICKS,"(258, 211, 467, 331)"
168,168.0,TORTILLA,"(1709, 482, 1773, 518)"
172,172.0,ZARA,"(1321, 96, 1623, 211)"
173,173.0,ZARA,"(1344, 80, 1682, 192)"
175,175.0,ZARA,"(982, 76, 1321, 212)"
176,176.0,ZARA,"(834, 43, 1201, 195)"
177,177.0,ZARA,"(720, 7, 1129, 174)"
178,178.0,ZARA,"(633, 0, 1069, 154)"
179,179.0,ZARA,"(597, 0, 1060, 141)"
180,180.0,ZARA,"(611, 6, 1072, 120)"
181,181.0,ZARA,"(645, 12, 1108, 120)"
182,182.0,ZARA,"(663, 42, 1116, 145)"
183,183.0,ZARA,"(686, 136, 1114, 238)"
184,184.0,ZARA,"(568, 142, 1014, 258)"
186,186.0,Vestiteld,"(1520, 436, 1593, 476)"
187,187.0,ZARA,"(636, 545, 772, 601)"
191,191.0,Vestiteld,"(1486, 337, 1575, 380)"
192,192.0,Vestiteld,"(1557, 302, 1658, 348)"
195,195.0,Vestiteld,"(926, 238, 1003, 302)"
198,198.0,SAMSUNG,"(1480, 393, 1592, 468)"
199,199.0,Resffield,"(829, 105, 907, 199)"
202,202.0,SAMSUNG,"(1580, 356, 1731, 445)"
203,203.0,SAMSUNG,"(1608, 352, 1770, 444)"
204,204.0,SAMSUNG,"(1615, 350, 1782, 443)"
205,205.0,SAMSUNG,"(1613, 351, 1780, 442)"
206,206.0,SAMSUNG,"(1612, 351, 1779, 443)"
207,207.0,SAMSUNG,"(1616, 352, 1784, 446)"
208,208.0,SAMSUNG,"(1789, 340, 1920, 431)"
210,210.0,RIVER,"(275, 207, 385, 337)"
211,211.0,nexi,"(717, 442, 781, 513)"
212,212.0,RIVER,"(600, 203, 724, 390)"
213,213.0,ISLAND RIVER,"(634, 191, 749, 377)"
214,214.0,ISLAND RIVER,"(649, 182, 767, 372)"
215,215.0,RIVER SLANO,"(609, 178, 777, 366)"
216,216.0,ISLAND RIVER,"(671, 166, 791, 361)"
219,219.0,60%OFF,"(319, 517, 466, 634)"
221,221.0,60%OFF,"(118, 527, 363, 688)"
225,225.0,HAVEYOU SEEN OUR GREEN WALLS?,"(1251, 640, 1377, 697)"
226,226.0,foodcourt,"(1465, 409, 1548, 453)"
229,229.0,foodcourt,"(1521, 404, 1610, 451)"
230,230.0,foodcourt,"(1446, 407, 1532, 453)"
233,233.0,EVEI,"(1690, 281, 1744, 330)"
234,234.0,SAMSUNG,"(1631, 382, 1769, 445)"
235,235.0,SAMSUNG,"(1605, 381, 1739, 446)"
236,236.0,SAMSUNG,"(1612, 382, 1750, 445)"
237,237.0,SAMSUNG,"(1641, 381, 1781, 441)"
238,238.0,ISUNG,"(1700, 382, 1828, 442)"
256,256.0,shopping,"(428, 797, 599, 873)"
257,257.0,VISA,"(60, 467, 120, 505)"
258,258.0,buiddoys,"(785, 771, 926, 836)"
259,259.0,shopping,"(1176, 787, 1328, 842)"
260,260.0,shopping,"(1654, 859, 1868, 928)"
261,261.0,nexr,"(568, 249, 719, 450)"
263,263.0,aexr,"(605, 170, 783, 418)"
265,265.0,fexr,"(527, 112, 757, 404)"
266,266.0,aexr,"(523, 111, 760, 403)"
277,277.0,PHONE CHARGING HERE BANK HERE,"(0, 915, 338, 1080)"
280,280.0,VISA,"(422, 419, 479, 458)"
281,281.0,foodcourt,"(1463, 281, 1740, 384)"
292,292.0,daires,"(1756, 481, 1848, 529)"
293,293.0,Wenulas,"(1683, 243, 1808, 339)"
295,295.0,daires,"(1725, 444, 1831, 500)"
296,296.0,daires,"(1775, 440, 1894, 498)"
297,297.0,Namu,"(1814, 177, 1920, 273)"
299,299.0,EPULL&BEAR,"(1331, 441, 1445, 524)"
301,301.0,EPULL&BEAR,"(1364, 441, 1482, 518)"
302,302.0,EPULL&BEAR,"(1434, 421, 1563, 515)"
303,303.0,EPULL&BEAR,"(1553, 410, 1704, 508)"
304,304.0,VISA,"(1398, 415, 1467, 453)"
305,305.0,VISA,"(1601, 378, 1679, 420)"
311,311.0,CONS,"(1290, 330, 1375, 374)"
313,313.0,SHEN,"(1104, 13, 1192, 568)"
314,314.0,OFTRAINER,"(1084, 0, 1174, 527)"
315,315.0,OFTRAINER,"(1137, 0, 1227, 489)"
319,319.0,CLINIC,"(1599, 147, 1920, 453)"
324,324.0,Vestiteld,"(1671, 844, 1841, 916)"
325,325.0,IT'STIMEFOR,"(1414, 76, 1537, 126)"
326,326.0,VHATEVER,"(1317, 203, 1605, 267)"
327,327.0,VISA WE ACCEPT,"(1460, 27, 1557, 85)"
328,328.0,Rotow'Sena,"(118, 684, 216, 732)"
329,329.0,ARKET,"(855, 329, 900, 455)"
331,331.0,ARKET,"(823, 313, 871, 455)"
333,333.0,ARKET,"(798, 290, 852, 446)"
335,335.0,ARKET,"(776, 258, 828, 429)"
336,336.0,ARKET,"(766, 238, 816, 403)"
337,337.0,ARKET,"(752, 218, 807, 418)"
338,338.0,ARKET,"(729, 187, 784, 381)"
345,345.0,WoridFamous,"(1088, 763, 1221, 814)"
348,348.0,EPULL&BEAR,"(1125, 243, 1683, 353)"
355,355.0,LOMBON Broadway,"(1101, 287, 1220, 396)"
356,356.0,Broadway,"(790, 293, 905, 391)"
357,357.0,THEADYSHO,"(1587, 356, 1637, 561)"
358,358.0,Broadway,"(597, 284, 722, 386)"
359,359.0,Buy Now,"(687, 4, 780, 65)"
360,360.0,THEADYSHO,"(1524, 393, 1569, 522)"
361,361.0,VHATEVER YOUBUY,"(622, 92, 901, 245)"
362,362.0,THEADYSHO,"(1735, 278, 1797, 471)"
367,367.0,SALE,"(63, 513, 208, 590)"
374,374.0,SeLet,"(808, 399, 899, 493)"
376,376.0,adidas,"(375, 956, 532, 1029)"
378,378.0,Selet',"(747, 342, 879, 474)"
379,379.0,SeLet,"(717, 320, 868, 470)"
384,384.0,Seled,"(126, 0, 814, 435)"
385,385.0,eLed,"(12, 0, 823, 423)"
400,400.0,MISS D195,"(556, 28, 672, 199)"
450,450.0,MISS D195,"(1350, 259, 1433, 342)"
451,451.0,HISS OTNA,"(1394, 255, 1481, 354)"
452,452.0,MISS 01A,"(1395, 254, 1482, 355)"
453,453.0,MISS D195,"(1400, 257, 1488, 355)"
454,454.0,MISS D195,"(1406, 260, 1492, 349)"
455,455.0,MISS OUA,"(1412, 245, 1501, 340)"
456,456.0,MASS TA,"(1422, 228, 1510, 322)"
457,457.0,MISS D195,"(1423, 220, 1512, 314)"
458,458.0,MISS D195,"(1426, 221, 1513, 313)"
459,459.0,MISS D195,"(1427, 221, 1516, 313)"
460,460.0,MISS D195,"(1423, 222, 1513, 314)"
461,461.0,MISS D195,"(1420, 218, 1511, 315)"
462,462.0,MISS D195,"(1427, 220, 1517, 314)"
463,463.0,MISS D195,"(1435, 223, 1527, 315)"
464,464.0,HISS OI9R,"(1430, 226, 1520, 317)"
465,465.0,MISS OUA,"(1460, 225, 1557, 327)"
466,466.0,NEW LOOK,"(0, 153, 443, 376)"
467,467.0,NEW LOOK,"(0, 130, 465, 358)"
468,468.0,MISS D195,"(1557, 138, 1681, 243)"
469,469.0,MISS D195,"(1542, 112, 1674, 223)"
470,470.0,MISS D195,"(1545, 80, 1685, 197)"
471,471.0,MISS D195,"(1607, 1, 1762, 131)"
472,472.0,OUIZ,"(1383, 245, 1478, 318)"
473,473.0,MISS D195,"(1686, 0, 1867, 132)"
474,474.0,MISS D195,"(1718, 0, 1910, 119)"
477,477.0,LUSHRESH,"(1792, 649, 1920, 736)"
483,483.0,Thepower ofkindness,"(1277, 366, 1356, 410)"
486,486.0,Vestiteld,"(1236, 236, 1336, 289)"
487,487.0,Vestiteld,"(1271, 171, 1379, 230)"
488,488.0,Vestiteld,"(1312, 98, 1430, 158)"
489,489.0,Vestiteld,"(1358, 1, 1493, 69)"
497,497.0,smiggie,"(1473, 345, 1553, 391)"
498,498.0,smiggie,"(1512, 347, 1594, 399)"
499,499.0,smiggie,"(1560, 353, 1652, 404)"
500,500.0,smiggie,"(1623, 343, 1731, 400)"
501,501.0,KIKO,"(1423, 356, 1498, 416)"
502,502.0,smiggie,"(1794, 316, 1920, 385)"
503,503.0,KIKO,"(1502, 342, 1594, 404)"
504,504.0,SKECHERS,"(483, 312, 647, 408)"
505,505.0,KIK.C,"(1610, 332, 1730, 403)"
506,506.0,KIK.C,"(1673, 322, 1803, 400)"
507,507.0,AILANO KIKC,"(1715, 319, 1859, 398)"
508,508.0,SKECHERS,"(479, 271, 661, 397)"
510,510.0,SKECHERS,"(221, 246, 445, 391)"
511,511.0,snniggle,"(1677, 338, 1838, 402)"
512,512.0,KIKO,"(1049, 383, 1137, 438)"
513,513.0,KIKO,"(910, 382, 1003, 445)"
514,514.0,GREGGS,"(1138, 828, 1331, 917)"
515,515.0,CALZEDONIA,"(1020, 340, 1316, 411)"
516,516.0,LUSHRESH,"(1496, 369, 1679, 423)"
517,517.0,Vestiteld,"(442, 904, 523, 947)"
518,518.0,LUSHRESH,"(855, 395, 983, 447)"
519,519.0,LUSHRESH,"(595, 386, 735, 443)"
520,520.0,LUSHRESH FRESH,"(477, 374, 626, 437)"
521,521.0,LUSHRESH,"(397, 356, 558, 422)"
523,523.0,AANDMIADE LUSHRESH COSMETICS FRESH,"(201, 321, 400, 402)"
530,530.0,LUSHRESH,"(985, 426, 1127, 484)"
531,531.0,CALZEDONIA,"(904, 361, 1221, 444)"
532,532.0,CALZEDONIA,"(1531, 289, 1920, 420)"
533,533.0,KIKO,"(1257, 427, 1355, 491)"
534,534.0,shopping,"(1028, 675, 1123, 717)"
535,535.0,shopping,"(1097, 670, 1198, 715)"
536,536.0,KIKC,"(1628, 382, 1758, 458)"
537,537.0,shopping,"(1160, 669, 1258, 710)"
538,538.0,MILAHO KIKC,"(1604, 385, 1734, 458)"
539,539.0,shopping,"(1113, 667, 1208, 709)"
540,540.0,AILANO KIKC,"(1587, 392, 1714, 460)"
541,541.0,shopping,"(1163, 670, 1258, 710)"
542,542.0,shopping,"(1166, 672, 1265, 714)"
543,543.0,shopping,"(1104, 673, 1199, 715)"
544,544.0,MILAHO KIKO,"(1494, 408, 1621, 474)"
545,545.0,SKECHERS,"(378, 237, 574, 418)"
546,546.0,SKECHERS,"(447, 142, 673, 368)"
547,547.0,SKECHERS,"(540, 41, 814, 327)"
554,554.0,adopt,"(1689, 562, 1833, 624)"
555,555.0,Vestiteld,"(1535, 731, 1634, 779)"
556,556.0,VANS,"(253, 0, 532, 317)"
558,558.0,schuh,"(1758, 425, 1875, 477)"
559,559.0,SKECHERS,"(550, 317, 654, 435)"
561,561.0,schuh,"(927, 457, 1010, 504)"
562,562.0,WEEKDAY,"(419, 481, 488, 522)"
563,563.0,schuh,"(843, 447, 930, 495)"
564,564.0,schuh,"(847, 439, 942, 486)"
565,565.0,schuh,"(861, 430, 961, 479)"
566,566.0,schuh,"(880, 422, 984, 476)"
567,567.0,THEADYSHO,"(23, 487, 97, 524)"
568,568.0,RotnrStonis,"(439, 69, 542, 132)"
569,569.0,RotnrStonis,"(460, 78, 561, 136)"
570,570.0,schuh,"(1064, 414, 1182, 472)"
571,571.0,RotonSomis,"(763, 115, 853, 183)"
572,572.0,schuh,"(1455, 376, 1609, 449)"
573,573.0,scnl,"(1791, 341, 1920, 413)"
574,574.0,Foot Lockei,"(0, 255, 266, 422)"
575,575.0,MORPHE,"(1158, 485, 1226, 523)"
576,576.0,MONK,"(1729, 367, 1920, 449)"
577,577.0,Boots,"(1420, 756, 1515, 839)"
578,578.0,Foot Lockei,"(0, 74, 359, 308)"
579,579.0,Bots,"(1420, 747, 1513, 825)"
580,580.0,Bots,"(1314, 737, 1403, 811)"
581,581.0,WEEKDAY,"(1182, 359, 1264, 414)"
582,582.0,BooLs,"(1102, 740, 1178, 807)"
583,583.0,BoOLs,"(1061, 746, 1139, 815)"
584,584.0,Rools,"(1036, 749, 1114, 816)"
585,585.0,WEEKDAY,"(1043, 402, 1116, 447)"
586,586.0,Boots,"(1033, 766, 1110, 834)"
587,587.0,WEEKDAY,"(1161, 404, 1244, 454)"
588,588.0,WEEKDAY,"(1437, 386, 1536, 443)"
589,589.0,WEEKDAY,"(1662, 366, 1780, 430)"
590,590.0,Boots,"(1740, 851, 1861, 945)"
591,591.0,BEAOO,"(1502, 438, 1568, 476)"
592,592.0,Foot Lockei,"(762, 257, 1000, 397)"
